"level","stem"
"B1","bezieh"
"A2","bgrf"
"A2","bibliothek"
"B1","biegt"
"A1","bier"
"B1","biert"
"B1","biet"
"B1","bietet"
"A2","biio"
"A1","bild"
"B1","bildschirm"
"B1","billet"
"B1","billett"
"A1","billig"
"A1","bin"
"B1","bio"
"B1","bioabfall"
"B1","biogemus"
"B1","biologi"
"B1","biolog"
"A2","birn"
"A1","bis"
"B1","bish"
"B1","biss"
"A1","bissch"
"A1","bist"
"B1","bistro"
"B1","bit"
"A1","bitt"
"B1","bittet"
"B1","bjoorn"
"B1","blass"
"A2","blatt"
"A2","blau"
"A2","bleib"
"B1","bleibt"
"A1","bleistift"
"A2","blg"
"A1","blick"
"B1","blieb"
"B1","blind"
"B1","blitz"
"B1","blitzt"
"A2","blod"
"A2","blog"
"A2","blond"
"B1","bloss"
"B1","bluh"
"B1","bluht"
"B1","blum"
"A2","blus"
"B1","blut"
"B1","blutet"
"B1","bod"
"B1","bodense"
"B1","bog"
"B1","bohn"
"A2","bond"
"A2","book"
"B1","boos"
"B1","boot"
"B1","bord"
"A1","bos"
"B1","bot"
"B1","botschaft"
"B1","brach"
"B1","bracht"
"B1","brandn"
"B1","brannt"
"A2","brasili"
"A2","brat"
"A2","bratwurst"
"A2","brauch"
"A2","braucht"
"B1","brech"
"A1","breit"
"A2","brem"
"B1","brems"
"B1","brenn"
"B1","brennt"
"B1","bricht"
"A1","brief"
"B1","briefkast"
"A2","briefmark"
"B1","brieftasch"
"B1","brieftrag"
"B1","brieftragerin"
"B1","briefumschlag"
"B1","briet"
"A2","brill"
"A2","bring"
"B1","bringt"
"B1","broschur"
"A1","brot"
"A1","brotch"
"B1","brotli"
"A2","bruck"
"A2","brud"
"B1","brunn"
"B1","brust"
"A2","bsp"
"A2","btly"
"B1","bub"
"A1","buch"
"B1","buchdruck"
"B1","buchhandl"
"A1","buchlad"
"A2","buchmess"
"B1","buchs"
"B1","buchsta"
"A2","buchstab"
"A1","buchstabi"
"B1","buchstabiert"
"A2","buchstablert"
"B1","bucht"
"B1","bud"
"B1","buffet"
"B1","buhn"
"A2","bul"
"B1","bundeskanzlerin"
"A2","bunt"
"B1","burg"
"B1","burgerin"
"B1","burgerinn"
"A2","buro"
"B1","buros"
"B1","burst"
"A1","bus"
"B1","busbahnhof"
"B1","busfahr"
"B1","busfahrerin"
"A1","butt"
"A2","buttercrem"
"B1","buuro"
"A1","caf"
"A2","cafeteria"
"B1","camping"
"B1","campingplatz"
"A2","carag"
"B1","card"
"B1","carola"
"A2","cas"
"A2","caterina"
"A2","cbl"
"B1","cchhau"
"B1","cds"
"A2","cecn"
"A2","ceficht"
"A2","ceh"
"A1","celsius"
"B1","cent"
"A2","cepack"
"B1","cgregor"
"A2","chalt"
"B1","chanc"
"A2","charlott"
"A2","chatt"
"A2","chattet"
"A2","chauf"
"A2","chef"
"A2","chefin"
"B1","chen"
"A2","chet"
"B1","chic"
"B1","chick"
"A1","chiemse"
"A2","china"
"B1","chines"
"B1","chipkart"
"A2","chmeckt"
"A2","christina"
"B1","christin"
"A2","chtist"
"A2","cin"
"A1","circa"
"A2","claudia"
"A2","club"
"A2","cna"
"B1","coiffeur"
"B1","coiffeus"
"B1","cola"
"A2","comic"
"A2","comics"
"A1","comput"
"B1","computerfachfrau"
"A2","computerkenntnis"
"B1","computerkur"
"B1","computerprogramm"
"B1","computerraum"
"B1","computerspezialist"
"A2","conchi"
"B1","cou"
"B1","couch"
"B1","cousin"
"B1","couvert"
"A2","crem"
"A2","cthph"
"A2","ctift"
"B1","daar"
"A2","daba"
"A2","dabei"
"A2","dabel"
"B1","dach"
"B1","dacht"
"A2","dafur"
"A2","dageg"
"B1","dah"
"B1","dahin"
"A2","damal"
"A2","dam"
"A2","damit"
"B1","danach"
"A2","dan"
"A1","daneb"
"A2","dang"
"A1","dank"
"B1","dankbar"
"B1","dankt"
"A1","dann"
"B1","dapfel"
"B1","dar"
"B1","daran"
"B1","darauf"
"A1","darf"
"B1","dargestellt"
"A2","darguf"
"B1","darmstadt"
"B1","darstell"
"A2","darub"
"B1","darum"
"A1","das"
"A2","dass"
"B1","dasselb"
"B1","dassiv"
"A2","dast"
"A2","datei"
"A2","datel"
"B1","dat"
"A1","datum"
"B1","dau"
"B1","dauernd"
"A2","dauert"
"B1","dauvuert"
"B1","dav"
"A2","davert"
"B1","davon"
"B1","davu"
"B1","davuert"
"B1","dazu"
"B1","dbitt"
"A2","ddas"
"A2","ddemi"
"B1","deck"
"A1","dein"
"A2","dekomm"
"B1","dekori"
"B1","dekoriert"
"A1","dem"
"A1","den"
"B1","denk"
"B1","denkmal"
"B1","denkt"
"A1","denn"
"B1","dennis"
"A1","der"
"A2","deremgang"
"B1","derselb"
"B1","dert"
"A2","deruhmt"
"A1","des"
"A2","deshalb"
"B1","dessert"
"B1","desto"
"B1","desweg"
"B1","det"
"B1","detail"
"A2","deutlich"
"A1","deutsch"
"B1","deutschkenntnis"
"A1","deutschkur"
"A2","deutschland"
"A1","deutschlehrerin"
"B1","deutschlern"
"A2","deutschub"
"A2","dgr"
"B1","dialekt"
"B1","dialog"
"B1","diat"
"A1","dich"
"B1","dicht"
"B1","dick"
"A1","die"
"B1","dieb"
"A2","diek"
"B1","dien"
"A2","dienstag"
"B1","dient"
"A2","dies"
"B1","diese"
"B1","dieselb"
"B1","diesmal"
"B1","dietmar"
"B1","digital"
"B1","digitaluhr"
"A2","dina"
"A2","ding"
"B1","diplom"
"A1","dir"
"A2","direkt"
"B1","direktor"
"B1","direktorin"
"B1","dis"
"A1","disco"
"A2","disko"
"B1","diskothek"
"B1","diskussion"
"B1","diskuti"
"A2","diskutiert"
"A2","dissch"
"B1","distanz"
"A2","ditt"
"A2","dium"
"A2","dıe"
"A2","dje"
"B1","dlass"
"A2","dle"
"A2","dles"
"A1","doch"
